size,min,max,avg
128,0.006263,0.007227,0.006895
128,0.006358,0.007426,0.006750
128,0.006357,0.007318,0.006750
128,0.006332,0.007224,0.006743
128,0.006305,0.007327,0.006786
128,0.006346,0.007077,0.006641
128,0.006552,0.007463,0.007013
128,0.006367,0.007468,0.006772
128,0.006562,0.007189,0.006917
128,0.006762,0.007299,0.006976
256,0.056565,0.057179,0.056825
256,0.056338,0.057620,0.057128
256,0.056333,0.057779,0.057021
256,0.055403,0.056216,0.055769
256,0.054751,0.063374,0.059247
256,0.052806,0.061284,0.057036
256,0.052171,0.058247,0.055654
256,0.052210,0.058428,0.055507
256,0.052249,0.058126,0.055427
256,0.052606,0.058593,0.055791
512,0.454528,0.465882,0.461652
512,0.457355,0.473773,0.467817
512,0.447620,0.467678,0.460889
512,0.441144,0.468425,0.457462
512,0.436112,0.463926,0.454335
512,0.440175,0.473287,0.461195
512,0.437082,0.468802,0.458108
512,0.432671,0.465357,0.452573
512,0.436278,0.466668,0.452765
512,0.439350,0.462966,0.449932
1024,4.633629,4.643024,4.638326
1024,4.623711,4.670464,4.647087
1024,4.601288,4.634965,4.618127
1024,4.619575,4.657590,4.638583
1024,4.613821,4.628750,4.621285
1024,4.585778,4.665204,4.625491
1024,4.626696,4.632884,4.629790
1024,4.616233,4.647981,4.632107
1024,4.671172,4.718186,4.694679
1024,4.747129,4.760662,4.753896
2048,55.692274,55.692274,55.692274
2048,55.991919,55.991919,55.991919
2048,56.485895,56.485895,56.485895
2048,55.756735,55.756735,55.756735
2048,56.189037,56.189037,56.189037
2048,56.284968,56.284968,56.284968
2048,56.513640,56.513640,56.513640
2048,56.699029,56.699029,56.699029
2048,56.390402,56.390402,56.390402
2048,56.492184,56.492184,56.492184
